postcode,lat,lng
2351,-30.4891,151.6396
2352,-31.0881,151.2462
2353,-30.9736,151.0956
2354,-31.1459,151.7626
2355,-30.7752,151.1542
2356,-30.6198,148.9695
2357,-31.5159,149.781
2358,-30.5403,151.2975
2359,-30.3248,150.9956
2360,-29.6301,151.162
2361,-29.1985,151.1418
2365,-30.1159,151.673
2369,-29.9854,151.2651
2370,-29.7362,151.8694
2371,-29.3662,151.8147
2372,-28.9617,151.7289
2379,-31.1263,149.7546
2380,-31.0461,150.1992
2381,-31.2442,150.4579
2382,-30.595,150.1781
2386,-30.079,148.9244
2387,-29.7957,149.1822
2388,-30.4273,149.0015
2390,-30.4133,149.7675
2395,-31.5842,149.4409
2396,-30.7774,148.9841
2397,-29.9257,149.691
2398,-29.7411,149.7957
2399,-29.4093,150.2227
2400,-29.4749,149.4621
2401,-29.6119,150.3316
2402,-29.4418,150.5475
2403,-29.4637,150.7838
2404,-29.8371,150.4166
2405,-28.8947,149.6472
2406,-28.9535,148.767
2408,-29.0281,150.5789
2409,-28.7078,150.1858
2410,-28.7051,150.6885
2411,-29.1312,150.3079
2415,-32.3063,151.8883
2420,-32.2397,151.6855
2421,-32.6019,151.543
2422,-31.9731,151.8658
2423,-32.3649,152.2709
2424,-31.6402,151.9648
2425,-32.4176,152.0025
2426,-31.8179,152.5953
2427,-31.8423,152.6866
2428,-32.1967,152.4542
2429,-31.7704,152.2924
2430,-31.8993,152.5032
2431,-30.9252,153.0538
2439,-31.6547,152.6522
2440,-30.3758,153.0196
2441,-30.8182,152.7955
2442,-31.4352,152.917
2443,-31.7254,152.7472
2444,-31.4396,152.8725
2445,-31.583,152.8209
2446,-31.3874,152.4669
2447,-30.8266,152.7146
2448,-30.6047,152.9567
2449,-30.6282,152.7376
2450,-30.0977,152.6583
2452,-30.3572,153.0819
2453,-30.3684,152.6703
2454,-30.4598,152.8403
2455,-30.5294,152.9635
2456,-30.0737,153.1434
2460,-29.3208,153.2711
2462,-29.8292,153.187
2463,-29.3669,153.1048
2464,-29.4846,153.3342
2465,-29.4126,153.2439
2466,-29.4075,153.3509
2469,-29.0537,152.5893
2470,-28.9279,152.7498
2471,-29.019,153.2432
2472,-29.1568,153.3039
2473,-29.2343,153.3211
2474,-28.4994,152.885
2475,-28.5463,152.3883
2476,-28.3646,152.4977
2477,-28.9077,153.4273
2478,-28.8655,153.5325
2479,-28.7095,153.515
2480,-28.7065,153.2594
2481,-28.6608,153.5928
2482,-28.5473,153.4324
2483,-28.4611,153.4942
2484,-28.3806,153.3165
2485,-28.1842,153.5268
2486,-28.2152,153.4792
2487,-28.2797,153.5486
2488,-28.341,153.5607
2489,-28.3922,153.5419
2490,-28.2717,153.4726
2500,-34.4232,150.8743
2502,-34.4947,150.8731
2505,-34.4664,150.9439
2506,-34.4849,150.8408
2508,-34.2309,150.9697
2515,-34.3003,150.9299
2516,-34.3321,150.9048
2517,-34.3494,150.8912
2518,-34.3737,150.8867
2519,-34.3556,150.7096
2520,-33.9378,151.1396
2522,-34.4051,150.8778
2525,-34.4372,150.8189
2526,-34.3808,150.7768
2527,-34.5835,150.7546
2528,-34.5487,150.8551
2529,-34.5924,150.8458
2530,-34.5054,150.7661
2533,-34.6454,150.7569
2534,-34.745,150.7511
2535,-34.7621,150.6783
2536,-35.6713,150.1259
2537,-35.9396,149.9122
2538,-35.3662,150.3205
2539,-35.5224,150.3932
2540,-34.8282,150.5789
2541,-34.9906,150.451
2545,-36.1277,149.7923
2546,-36.2549,150.2254
2548,-36.8607,149.8948
2549,-36.9532,149.8517
2550,-36.7378,149.6992
2551,-37.2677,149.7924
2555,-33.8834,150.7414
2556,-33.9163,150.734
2557,-33.9935,150.7749
2558,-34.0316,150.7995
2559,-34.0513,150.7936
2560,-34.1942,150.7684
2563,-34.1027,150.7498
2564,-33.9984,150.8949
2565,-33.9772,150.8619
2566,-34.0273,150.8423
2567,-34.0552,150.7565
2568,-34.1474,150.718
2569,-34.196,150.7089
2570,-34.0429,150.5253
2571,-34.3025,150.5153
2572,-34.1931,150.5592
2573,-34.2184,150.5846
2574,-34.4254,150.6686
2575,-34.3472,150.3422
2576,-34.5256,150.5035
2577,-34.595,150.411
2578,-34.7156,150.2932
2579,-34.7118,150.1303
2580,-34.7263,149.7292
2581,-34.7645,149.2866
